x,y,z
-1.008948898315429688e+02,5.405598068237304688e+01,6.291777610778808594e+00
-1.002686309814453125e+02,6.079867553710937500e+01,4.397454261779785156e+00
-1.013411865234375000e+02,5.429508590698242188e+01,3.910294294357299805e+00
-1.006035156250000000e+02,6.100173568725585938e+01,3.591098308563232422e+00
-1.006429901123046875e+02,6.102567291259765625e+01,2.771331071853637695e+00
-1.013723449707031250e+02,5.431177902221679688e+01,2.306879997253417969e+00
-9.334911346435546875e+01,6.057729721069335938e+01,6.803980469703674316e-01
-8.534177398681640625e+01,4.913488006591796875e+01,2.587492167949676514e-01
-8.564978790283203125e+01,4.931221771240234375e+01,-4.292132258415222168e-01
-8.418130493164062500e+01,5.462800598144531250e+01,-7.855862379074096680e-01
-8.427867126464843750e+01,5.469118881225585938e+01,-1.487034320831298828e+00
-8.518570709228515625e+01,4.904502487182617188e+01,-1.797539830207824707e+00
-8.564406585693359375e+01,4.930892181396484375e+01,-2.496523141860961914e+00
-1.602899932861328125e+01,9.719309806823730469e+00,-9.970969557762145996e-01
